id	gene	a	d	mu_r	mu_v
s62	S62	266	329	0.999	0.5
s63	S63	233	291	0.999	0.5
s64	S64	246	293	0.999	0.5
s65	S65	251	307	0.999	0.5
s66	S66	257	316	0.999	0.5
s67	S67	225	295	0.999	0.5
s68	S68	233	301	0.999	0.5
s69	S69	268	304	0.999	0.5
s70	S70	252	311	0.999	0.5
s71	S71	263	317	0.999	0.5
s72	S72	271	326	0.999	0.5
s73	S73	270	326	0.999	0.5
s74	S74	244	296	0.999	0.5
s75	S75	229	281	0.999	0.5
s76	S76	254	316	0.999	0.5
s77	S77	248	310	0.999	0.5
s78	S78	255	306	0.999	0.5
s79	S79	221	271	0.999	0.5
s80	S80	224	285	0.999	0.5
s81	S81	217	276	0.999	0.5
s82	S82	242	290	0.999	0.5
s83	S83	229	289	0.999	0.5
s84	S84	258	316	0.999	0.5
s85	S85	238	298	0.999	0.5
s86	S86	246	304	0.999	0.5
s87	S87	267	330	0.999	0.5
s88	S88	258	307	0.999	0.5
s89	S89	242	299	0.999	0.5
s90	S90	264	319	0.999	0.5
s91	S91	292	327	0.999	0.5
s92	S92	239	297	0.999	0.5
s93	S93	218	277	0.999	0.5
s94	S94	239	298	0.999	0.5
s95	S95	264	308	0.999	0.5
s96	S96	214	276	0.999	0.5
s97	S97	227	276	0.999	0.5
s98	S98	235	293	0.999	0.5
s99	S99	276	335	0.999	0.5
s100	S100	254	278	0.999	0.5
s101	S101	266	295	0.999	0.5
s102	S102	288	322	0.999	0.5
s103	S103	251	275	0.999	0.5
s104	S104	285	311	0.999	0.5
s105	S105	286	313	0.999	0.5
s106	S106	268	294	0.999	0.5
s107	S107	280	307	0.999	0.5
s108	S108	281	307	0.999	0.5
s109	S109	315	336	0.999	0.5
s110	S110	283	309	0.999	0.5
s111	S111	263	288	0.999	0.5
s112	S112	255	285	0.999	0.5
s113	S113	267	299	0.999	0.5
s114	S114	292	321	0.999	0.5
s115	S115	254	283	0.999	0.5
s116	S116	291	322	0.999	0.5
s117	S117	294	319	0.999	0.5
s118	S118	282	301	0.999	0.5
s119	S119	257	287	0.999	0.5
s120	S120	274	304	0.999	0.5
s121	S121	287	312	0.999	0.5
s122	S122	275	291	0.999	0.5
s123	S123	274	298	0.999	0.5
s124	S124	281	303	0.999	0.5
s125	S125	245	269	0.999	0.5
s126	S126	271	298	0.999	0.5
s127	S127	304	330	0.999	0.5
s128	S128	252	280	0.999	0.5
s129	S129	290	322	0.999	0.5
s130	S130	285	305	0.999	0.5
s131	S131	288	319	0.999	0.5
s132	S132	258	291	0.999	0.5
s133	S133	273	301	0.999	0.5
s134	S134	272	307	0.999	0.5
s135	S135	281	312	0.999	0.5
s136	S136	287	305	0.999	0.5
s137	S137	269	298	0.999	0.5
s138	S138	281	297	0.999	0.5
s139	S139	254	286	0.999	0.5
s140	S140	275	299	0.999	0.5
s141	S141	285	301	0.999	0.5
s142	S142	269	293	0.999	0.5
s143	S143	281	310	0.999	0.5
s144	S144	272	296	0.999	0.5
s145	S145	277	299	0.999	0.5
s146	S146	270	293	0.999	0.5
s147	S147	287	307	0.999	0.5
s148	S148	285	316	0.999	0.5
s149	S149	254	284	0.999	0.5
s150	S150	306	314	0.999	0.5
s151	S151	295	299	0.999	0.5
s152	S152	307	310	0.999	0.5
s153	S153	308	319	0.999	0.5
s154	S154	319	327	0.999	0.5
s155	S155	256	267	0.999	0.5
s156	S156	295	303	0.999	0.5
s157	S157	335	339	0.999	0.5
s158	S158	307	316	0.999	0.5
s159	S159	319	328	0.999	0.5
s160	S160	284	292	0.999	0.5
s161	S161	304	312	0.999	0.5
s162	S162	314	324	0.999	0.5
s163	S163	293	302	0.999	0.5
s164	S164	280	286	0.999	0.5
s165	S165	285	292	0.999	0.5
s166	S166	275	285	0.999	0.5
s167	S167	286	296	0.999	0.5
s168	S168	269	277	0.999	0.5
s169	S169	280	290	0.999	0.5
s170	S170	288	293	0.999	0.5
s171	S171	246	251	0.999	0.5
s172	S172	280	287	0.999	0.5
s173	S173	294	302	0.999	0.5
s174	S174	289	299	0.999	0.5
s175	S175	269	275	0.999	0.5
s176	S176	287	298	0.999	0.5
s177	S177	273	287	0.999	0.5
s178	S178	298	303	0.999	0.5
s179	S179	254	270	0.999	0.5
s180	S180	298	305	0.999	0.5
s181	S181	287	293	0.999	0.5
s182	S182	310	318	0.999	0.5
s183	S183	332	344	0.999	0.5
s184	S184	283	293	0.999	0.5
s185	S185	304	308	0.999	0.5
s186	S186	288	294	0.999	0.5
s187	S187	300	307	0.999	0.5
s188	S188	287	296	0.999	0.5
s189	S189	317	326	0.999	0.5
s190	S190	301	305	0.999	0.5
s191	S191	283	290	0.999	0.5
s192	S192	309	315	0.999	0.5
s193	S193	291	301	0.999	0.5
s194	S194	267	275	0.999	0.5
s195	S195	286	295	0.999	0.5
s196	S196	304	311	0.999	0.5
s197	S197	299	308	0.999	0.5
s198	S198	311	316	0.999	0.5
s199	S199	312	326	0.999	0.5
