id	gene	a	d	mu_r	mu_v
s420	S420	260	294	0.999	0.5
s421	S421	264	296	0.999	0.5
s422	S422	271	294	0.999	0.5
s423	S423	262	295	0.999	0.5
s424	S424	282	313	0.999	0.5
s425	S425	274	299	0.999	0.5
s426	S426	260	286	0.999	0.5
s427	S427	270	302	0.999	0.5
s428	S428	295	318	0.999	0.5
s429	S429	276	300	0.999	0.5
s430	S430	252	276	0.999	0.5
s431	S431	287	318	0.999	0.5
s432	S432	279	306	0.999	0.5
s433	S433	283	312	0.999	0.5
s434	S434	284	318	0.999	0.5
s435	S435	268	290	0.999	0.5
s436	S436	248	271	0.999	0.5
s437	S437	302	335	0.999	0.5
s438	S438	265	288	0.999	0.5
s439	S439	257	281	0.999	0.5
s440	S440	294	317	0.999	0.5
s441	S441	265	290	0.999	0.5
s442	S442	307	332	0.999	0.5
s443	S443	277	309	0.999	0.5
s444	S444	251	275	0.999	0.5
s445	S445	295	327	0.999	0.5
s446	S446	292	325	0.999	0.5
s447	S447	252	269	0.999	0.5
s448	S448	271	299	0.999	0.5
s449	S449	281	308	0.999	0.5
s450	S450	272	305	0.999	0.5
s451	S451	278	296	0.999	0.5
s452	S452	267	292	0.999	0.5
s453	S453	290	322	0.999	0.5
s454	S454	277	311	0.999	0.5
s455	S455	268	302	0.999	0.5
s456	S456	263	284	0.999	0.5
s457	S457	253	288	0.999	0.5
s458	S458	297	317	0.999	0.5
s459	S459	306	329	0.999	0.5
s460	S460	266	303	0.999	0.5
s461	S461	290	311	0.999	0.5
s462	S462	290	303	0.999	0.5
s463	S463	261	293	0.999	0.5
s464	S464	282	318	0.999	0.5
s465	S465	261	281	0.999	0.5
s466	S466	236	257	0.999	0.5
s467	S467	263	288	0.999	0.5
s468	S468	262	287	0.999	0.5
s469	S469	289	311	0.999	0.5
s470	S470	275	298	0.999	0.5
s471	S471	307	338	0.999	0.5
s472	S472	246	273	0.999	0.5
s473	S473	291	311	0.999	0.5
s474	S474	278	302	0.999	0.5
s475	S475	260	292	0.999	0.5
s476	S476	270	298	0.999	0.5
s477	S477	265	300	0.999	0.5
s478	S478	276	299	0.999	0.5
s479	S479	276	306	0.999	0.5
s480	S480	276	306	0.999	0.5
s481	S481	298	322	0.999	0.5
s482	S482	279	302	0.999	0.5
s483	S483	278	305	0.999	0.5
s484	S484	264	289	0.999	0.5
s485	S485	280	298	0.999	0.5
s486	S486	292	321	0.999	0.5
s487	S487	286	321	0.999	0.5
s488	S488	290	320	0.999	0.5
s489	S489	293	321	0.999	0.5
s490	S490	258	283	0.999	0.5
s491	S491	280	305	0.999	0.5
s492	S492	271	303	0.999	0.5
s493	S493	257	275	0.999	0.5
s494	S494	266	296	0.999	0.5
s495	S495	277	298	0.999	0.5
s496	S496	288	307	0.999	0.5
s497	S497	273	301	0.999	0.5
s498	S498	272	304	0.999	0.5
s499	S499	260	275	0.999	0.5
s500	S500	277	308	0.999	0.5
s501	S501	286	309	0.999	0.5
s502	S502	291	316	0.999	0.5
s503	S503	244	270	0.999	0.5
s504	S504	283	314	0.999	0.5
s505	S505	275	306	0.999	0.5
s506	S506	267	295	0.999	0.5
s507	S507	279	302	0.999	0.5
s508	S508	268	295	0.999	0.5
s509	S509	277	296	0.999	0.5
s510	S510	278	313	0.999	0.5
s511	S511	282	303	0.999	0.5
s512	S512	243	271	0.999	0.5
s513	S513	245	277	0.999	0.5
s514	S514	272	301	0.999	0.5
s515	S515	258	290	0.999	0.5
s516	S516	293	325	0.999	0.5
s517	S517	303	334	0.999	0.5
s518	S518	289	311	0.999	0.5
s519	S519	273	294	0.999	0.5
s520	S520	254	279	0.999	0.5
s521	S521	276	300	0.999	0.5
s522	S522	291	316	0.999	0.5
s523	S523	277	303	0.999	0.5
s524	S524	264	284	0.999	0.5
s525	S525	275	305	0.999	0.5
s526	S526	295	323	0.999	0.5
s527	S527	264	293	0.999	0.5
s528	S528	275	305	0.999	0.5
s529	S529	256	283	0.999	0.5
s530	S530	279	308	0.999	0.5
s531	S531	289	326	0.999	0.5
s532	S532	280	317	0.999	0.5
s533	S533	305	327	0.999	0.5
s534	S534	284	317	0.999	0.5
s535	S535	268	295	0.999	0.5
s536	S536	262	295	0.999	0.5
s537	S537	256	281	0.999	0.5
s538	S538	282	310	0.999	0.5
s539	S539	279	304	0.999	0.5
s540	S540	269	296	0.999	0.5
s541	S541	315	349	0.999	0.5
s542	S542	294	318	0.999	0.5
s543	S543	288	312	0.999	0.5
s544	S544	266	305	0.999	0.5
s545	S545	259	278	0.999	0.5
s546	S546	240	263	0.999	0.5
s547	S547	287	316	0.999	0.5
s548	S548	277	305	0.999	0.5
s549	S549	280	306	0.999	0.5
s550	S550	285	304	0.999	0.5
s551	S551	313	333	0.999	0.5
s552	S552	285	306	0.999	0.5
s553	S553	266	288	0.999	0.5
s554	S554	267	299	0.999	0.5
s555	S555	277	306	0.999	0.5
s556	S556	265	290	0.999	0.5
s557	S557	237	264	0.999	0.5
s558	S558	262	288	0.999	0.5
s559	S559	277	304	0.999	0.5
s560	S560	262	299	0.999	0.5
s561	S561	289	325	0.999	0.5
s562	S562	271	301	0.999	0.5
s563	S563	241	260	0.999	0.5
s564	S564	322	343	0.999	0.5
s565	S565	288	311	0.999	0.5
s566	S566	260	287	0.999	0.5
s567	S567	270	295	0.999	0.5
s568	S568	302	331	0.999	0.5
s569	S569	279	304	0.999	0.5
s570	S570	257	283	0.999	0.5
s571	S571	271	298	0.999	0.5
s572	S572	270	298	0.999	0.5
s573	S573	287	324	0.999	0.5
s574	S574	263	293	0.999	0.5
s575	S575	287	320	0.999	0.5
s576	S576	233	260	0.999	0.5
s577	S577	303	332	0.999	0.5
s578	S578	294	318	0.999	0.5
s579	S579	253	278	0.999	0.5
s580	S580	288	308	0.999	0.5
s581	S581	275	301	0.999	0.5
s582	S582	257	275	0.999	0.5
s583	S583	275	304	0.999	0.5
s584	S584	274	296	0.999	0.5
s585	S585	288	330	0.999	0.5
s586	S586	271	296	0.999	0.5
s587	S587	267	289	0.999	0.5
s588	S588	276	304	0.999	0.5
s589	S589	273	298	0.999	0.5
s590	S590	266	287	0.999	0.5
s591	S591	285	308	0.999	0.5
s592	S592	282	312	0.999	0.5
s593	S593	265	289	0.999	0.5
s594	S594	270	296	0.999	0.5
s595	S595	284	311	0.999	0.5
s596	S596	268	299	0.999	0.5
s597	S597	269	297	0.999	0.5
s598	S598	233	257	0.999	0.5
s599	S599	282	304	0.999	0.5
s600	S600	293	305	0.999	0.5
s601	S601	275	287	0.999	0.5
s602	S602	287	293	0.999	0.5
s603	S603	310	315	0.999	0.5
s604	S604	297	308	0.999	0.5
s605	S605	283	292	0.999	0.5
s606	S606	269	279	0.999	0.5
s607	S607	273	282	0.999	0.5
s608	S608	283	288	0.999	0.5
s609	S609	320	329	0.999	0.5
s610	S610	309	320	0.999	0.5
s611	S611	284	294	0.999	0.5
s612	S612	312	323	0.999	0.5
s613	S613	286	299	0.999	0.5
s614	S614	316	323	0.999	0.5
s615	S615	292	300	0.999	0.5
s616	S616	286	292	0.999	0.5
s617	S617	299	308	0.999	0.5
s618	S618	263	273	0.999	0.5
s619	S619	305	320	0.999	0.5
s620	S620	283	289	0.999	0.5
s621	S621	306	312	0.999	0.5
s622	S622	298	316	0.999	0.5
s623	S623	288	296	0.999	0.5
s624	S624	319	325	0.999	0.5
s625	S625	286	295	0.999	0.5
s626	S626	287	294	0.999	0.5
s627	S627	322	333	0.999	0.5
s628	S628	283	292	0.999	0.5
s629	S629	321	335	0.999	0.5
s630	S630	303	311	0.999	0.5
s631	S631	289	300	0.999	0.5
s632	S632	284	294	0.999	0.5
s633	S633	342	346	0.999	0.5
s634	S634	297	303	0.999	0.5
s635	S635	289	297	0.999	0.5
s636	S636	280	288	0.999	0.5
s637	S637	273	281	0.999	0.5
s638	S638	310	320	0.999	0.5
s639	S639	254	261	0.999	0.5
s640	S640	275	284	0.999	0.5
s641	S641	327	331	0.999	0.5
s642	S642	264	276	0.999	0.5
s643	S643	302	312	0.999	0.5
s644	S644	279	288	0.999	0.5
s645	S645	296	308	0.999	0.5
s646	S646	289	297	0.999	0.5
s647	S647	288	302	0.999	0.5
s648	S648	280	290	0.999	0.5
s649	S649	279	285	0.999	0.5
s650	S650	323	337	0.999	0.5
s651	S651	283	288	0.999	0.5
s652	S652	293	301	0.999	0.5
s653	S653	283	291	0.999	0.5
s654	S654	275	283	0.999	0.5
s655	S655	299	310	0.999	0.5
s656	S656	324	334	0.999	0.5
s657	S657	277	285	0.999	0.5
s658	S658	323	334	0.999	0.5
s659	S659	279	289	0.999	0.5
s660	S660	269	279	0.999	0.5
s661	S661	279	286	0.999	0.5
s662	S662	300	307	0.999	0.5
s663	S663	291	297	0.999	0.5
s664	S664	275	279	0.999	0.5
s665	S665	293	305	0.999	0.5
s666	S666	300	311	0.999	0.5
s667	S667	303	312	0.999	0.5
s668	S668	295	304	0.999	0.5
s669	S669	315	321	0.999	0.5
s670	S670	287	298	0.999	0.5
s671	S671	274	282	0.999	0.5
s672	S672	290	298	0.999	0.5
s673	S673	313	333	0.999	0.5
s674	S674	312	316	0.999	0.5
s675	S675	310	316	0.999	0.5
s676	S676	289	300	0.999	0.5
s677	S677	299	308	0.999	0.5
s678	S678	307	318	0.999	0.5
s679	S679	281	291	0.999	0.5
s680	S680	303	312	0.999	0.5
s681	S681	280	285	0.999	0.5
s682	S682	329	337	0.999	0.5
s683	S683	302	306	0.999	0.5
s684	S684	317	328	0.999	0.5
s685	S685	285	296	0.999	0.5
s686	S686	243	249	0.999	0.5
s687	S687	290	303	0.999	0.5
s688	S688	282	290	0.999	0.5
s689	S689	303	315	0.999	0.5
s690	S690	286	303	0.999	0.5
s691	S691	285	300	0.999	0.5
s692	S692	278	283	0.999	0.5
s693	S693	300	308	0.999	0.5
s694	S694	279	285	0.999	0.5
s695	S695	311	316	0.999	0.5
s696	S696	295	304	0.999	0.5
s697	S697	292	302	0.999	0.5
s698	S698	283	291	0.999	0.5
s699	S699	271	278	0.999	0.5
s700	S700	282	289	0.999	0.5
s701	S701	303	308	0.999	0.5
s702	S702	290	300	0.999	0.5
s703	S703	290	295	0.999	0.5
s704	S704	304	310	0.999	0.5
s705	S705	311	329	0.999	0.5
s706	S706	306	314	0.999	0.5
s707	S707	274	284	0.999	0.5
s708	S708	289	297	0.999	0.5
s709	S709	325	340	0.999	0.5
s710	S710	252	260	0.999	0.5
s711	S711	309	317	0.999	0.5
s712	S712	259	266	0.999	0.5
s713	S713	311	322	0.999	0.5
s714	S714	270	277	0.999	0.5
s715	S715	290	299	0.999	0.5
s716	S716	274	283	0.999	0.5
s717	S717	277	288	0.999	0.5
s718	S718	307	315	0.999	0.5
s719	S719	285	293	0.999	0.5
s720	S720	282	294	0.999	0.5
s721	S721	284	296	0.999	0.5
s722	S722	288	303	0.999	0.5
s723	S723	270	275	0.999	0.5
s724	S724	285	291	0.999	0.5
s725	S725	307	316	0.999	0.5
s726	S726	306	313	0.999	0.5
s727	S727	300	308	0.999	0.5
s728	S728	289	295	0.999	0.5
s729	S729	296	306	0.999	0.5
s730	S730	304	318	0.999	0.5
s731	S731	279	286	0.999	0.5
s732	S732	279	287	0.999	0.5
s733	S733	324	330	0.999	0.5
s734	S734	285	295	0.999	0.5
s735	S735	318	332	0.999	0.5
s736	S736	323	336	0.999	0.5
s737	S737	304	310	0.999	0.5
s738	S738	261	264	0.999	0.5
s739	S739	305	308	0.999	0.5
s740	S740	297	303	0.999	0.5
s741	S741	284	295	0.999	0.5
s742	S742	303	313	0.999	0.5
s743	S743	288	294	0.999	0.5
s744	S744	270	278	0.999	0.5
s745	S745	313	325	0.999	0.5
s746	S746	270	281	0.999	0.5
s747	S747	307	318	0.999	0.5
s748	S748	262	270	0.999	0.5
s749	S749	298	306	0.999	0.5
s750	S750	293	300	0.999	0.5
s751	S751	282	286	0.999	0.5
s752	S752	290	303	0.999	0.5
s753	S753	282	287	0.999	0.5
s754	S754	260	272	0.999	0.5
s755	S755	280	287	0.999	0.5
s756	S756	294	301	0.999	0.5
s757	S757	288	301	0.999	0.5
s758	S758	285	293	0.999	0.5
s759	S759	285	292	0.999	0.5
s760	S760	293	299	0.999	0.5
s761	S761	304	316	0.999	0.5
s762	S762	280	289	0.999	0.5
s763	S763	300	304	0.999	0.5
s764	S764	305	313	0.999	0.5
s765	S765	295	305	0.999	0.5
s766	S766	286	293	0.999	0.5
s767	S767	307	316	0.999	0.5
s768	S768	299	304	0.999	0.5
s769	S769	317	328	0.999	0.5
s770	S770	289	304	0.999	0.5
s771	S771	274	281	0.999	0.5
s772	S772	274	284	0.999	0.5
s773	S773	243	251	0.999	0.5
s774	S774	308	313	0.999	0.5
