id	gene	a	d	mu_r	mu_v
s147	S147	181	275	0.999	0.5
s148	S148	245	323	0.999	0.5
s149	S149	216	304	0.999	0.5
s150	S150	214	297	0.999	0.5
s151	S151	221	301	0.999	0.5
s152	S152	203	286	0.999	0.5
s153	S153	246	350	0.999	0.5
s154	S154	202	283	0.999	0.5
s155	S155	212	291	0.999	0.5
s156	S156	204	293	0.999	0.5
s157	S157	216	305	0.999	0.5
s158	S158	209	291	0.999	0.5
s159	S159	217	300	0.999	0.5
s160	S160	222	304	0.999	0.5
s161	S161	235	318	0.999	0.5
s162	S162	193	277	0.999	0.5
s163	S163	204	282	0.999	0.5
s164	S164	216	301	0.999	0.5
s165	S165	212	287	0.999	0.5
s166	S166	202	283	0.999	0.5
s167	S167	232	320	0.999	0.5
s168	S168	236	323	0.999	0.5
s169	S169	228	320	0.999	0.5
s170	S170	235	320	0.999	0.5
s171	S171	230	313	0.999	0.5
s172	S172	202	288	0.999	0.5
s173	S173	173	269	0.999	0.5
s174	S174	213	291	0.999	0.5
s175	S175	216	308	0.999	0.5
s176	S176	227	328	0.999	0.5
s177	S177	226	316	0.999	0.5
s178	S178	223	314	0.999	0.5
s179	S179	203	287	0.999	0.5
s180	S180	197	302	0.999	0.5
s181	S181	185	289	0.999	0.5
s182	S182	203	280	0.999	0.5
s183	S183	206	289	0.999	0.5
s184	S184	170	266	0.999	0.5
s185	S185	205	299	0.999	0.5
s186	S186	205	275	0.999	0.5
s187	S187	202	302	0.999	0.5
s188	S188	215	303	0.999	0.5
s189	S189	203	286	0.999	0.5
s190	S190	213	297	0.999	0.5
s191	S191	226	325	0.999	0.5
s192	S192	200	276	0.999	0.5
s193	S193	201	285	0.999	0.5
s194	S194	196	284	0.999	0.5
s195	S195	234	324	0.999	0.5
s196	S196	215	307	0.999	0.5
s197	S197	217	300	0.999	0.5
s198	S198	237	315	0.999	0.5
s199	S199	197	282	0.999	0.5
s200	S200	244	274	0.999	0.5
s201	S201	256	295	0.999	0.5
s202	S202	226	265	0.999	0.5
s203	S203	250	274	0.999	0.5
s204	S204	257	302	0.999	0.5
s205	S205	255	299	0.999	0.5
s206	S206	287	343	0.999	0.5
s207	S207	264	302	0.999	0.5
s208	S208	237	280	0.999	0.5
s209	S209	263	295	0.999	0.5
s210	S210	264	297	0.999	0.5
s211	S211	252	294	0.999	0.5
s212	S212	286	332	0.999	0.5
s213	S213	281	321	0.999	0.5
s214	S214	250	281	0.999	0.5
s215	S215	272	307	0.999	0.5
s216	S216	261	301	0.999	0.5
s217	S217	260	294	0.999	0.5
s218	S218	253	290	0.999	0.5
s219	S219	264	305	0.999	0.5
s220	S220	258	305	0.999	0.5
s221	S221	250	285	0.999	0.5
s222	S222	246	290	0.999	0.5
s223	S223	253	291	0.999	0.5
s224	S224	270	313	0.999	0.5
s225	S225	286	326	0.999	0.5
s226	S226	243	282	0.999	0.5
s227	S227	264	302	0.999	0.5
s228	S228	258	294	0.999	0.5
s229	S229	265	308	0.999	0.5
s230	S230	242	274	0.999	0.5
s231	S231	250	290	0.999	0.5
s232	S232	272	302	0.999	0.5
s233	S233	255	306	0.999	0.5
s234	S234	271	313	0.999	0.5
s235	S235	285	325	0.999	0.5
s236	S236	259	297	0.999	0.5
s237	S237	255	300	0.999	0.5
s238	S238	298	337	0.999	0.5
s239	S239	223	258	0.999	0.5
s240	S240	289	336	0.999	0.5
s241	S241	258	305	0.999	0.5
s242	S242	257	291	0.999	0.5
s243	S243	262	306	0.999	0.5
s244	S244	231	266	0.999	0.5
s245	S245	242	275	0.999	0.5
s246	S246	254	291	0.999	0.5
s247	S247	241	284	0.999	0.5
s248	S248	281	317	0.999	0.5
s249	S249	245	280	0.999	0.5
s250	S250	236	273	0.999	0.5
s251	S251	247	286	0.999	0.5
s252	S252	257	295	0.999	0.5
s253	S253	274	307	0.999	0.5
s254	S254	251	295	0.999	0.5
s255	S255	270	314	0.999	0.5
s256	S256	252	295	0.999	0.5
s257	S257	251	281	0.999	0.5
s258	S258	262	304	0.999	0.5
s259	S259	258	298	0.999	0.5
s260	S260	236	276	0.999	0.5
s261	S261	254	286	0.999	0.5
s262	S262	251	291	0.999	0.5
s263	S263	268	320	0.999	0.5
s264	S264	229	267	0.999	0.5
s265	S265	269	314	0.999	0.5
s266	S266	235	279	0.999	0.5
s267	S267	258	290	0.999	0.5
s268	S268	295	343	0.999	0.5
s269	S269	247	278	0.999	0.5
s270	S270	266	302	0.999	0.5
s271	S271	266	305	0.999	0.5
s272	S272	247	292	0.999	0.5
s273	S273	254	299	0.999	0.5
s274	S274	260	295	0.999	0.5
s275	S275	236	279	0.999	0.5
s276	S276	262	294	0.999	0.5
s277	S277	266	309	0.999	0.5
s278	S278	273	306	0.999	0.5
s279	S279	271	310	0.999	0.5
s280	S280	259	293	0.999	0.5
s281	S281	267	315	0.999	0.5
s282	S282	287	336	0.999	0.5
s283	S283	228	261	0.999	0.5
s284	S284	251	293	0.999	0.5
s285	S285	227	273	0.999	0.5
s286	S286	270	311	0.999	0.5
s287	S287	265	316	0.999	0.5
s288	S288	260	299	0.999	0.5
s289	S289	272	306	0.999	0.5
s290	S290	265	320	0.999	0.5
s291	S291	243	277	0.999	0.5
s292	S292	256	293	0.999	0.5
s293	S293	233	261	0.999	0.5
s294	S294	249	288	0.999	0.5
s295	S295	228	267	0.999	0.5
s296	S296	272	310	0.999	0.5
s297	S297	250	301	0.999	0.5
s298	S298	257	295	0.999	0.5
s299	S299	250	292	0.999	0.5
s300	S300	234	281	0.999	0.5
s301	S301	272	310	0.999	0.5
s302	S302	275	309	0.999	0.5
s303	S303	260	309	0.999	0.5
s304	S304	257	299	0.999	0.5
s305	S305	272	323	0.999	0.5
s306	S306	256	294	0.999	0.5
s307	S307	256	300	0.999	0.5
s308	S308	269	312	0.999	0.5
s309	S309	259	291	0.999	0.5
s310	S310	239	275	0.999	0.5
s311	S311	270	308	0.999	0.5
s312	S312	238	272	0.999	0.5
s313	S313	275	308	0.999	0.5
s314	S314	234	277	0.999	0.5
s315	S315	269	307	0.999	0.5
s316	S316	238	282	0.999	0.5
s317	S317	272	304	0.999	0.5
s318	S318	265	302	0.999	0.5
s319	S319	297	347	0.999	0.5
s320	S320	271	311	0.999	0.5
s321	S321	262	302	0.999	0.5
s322	S322	291	327	0.999	0.5
s323	S323	271	319	0.999	0.5
s324	S324	253	296	0.999	0.5
s325	S325	276	314	0.999	0.5
s326	S326	253	287	0.999	0.5
s327	S327	303	339	0.999	0.5
s328	S328	284	321	0.999	0.5
s329	S329	242	274	0.999	0.5
s330	S330	268	302	0.999	0.5
s331	S331	281	326	0.999	0.5
s332	S332	265	308	0.999	0.5
s333	S333	273	307	0.999	0.5
s334	S334	229	269	0.999	0.5
s335	S335	277	316	0.999	0.5
s336	S336	232	271	0.999	0.5
s337	S337	270	299	0.999	0.5
s338	S338	262	310	0.999	0.5
s339	S339	253	295	0.999	0.5
s340	S340	257	298	0.999	0.5
s341	S341	241	282	0.999	0.5
s342	S342	212	259	0.999	0.5
s343	S343	236	273	0.999	0.5
s344	S344	289	327	0.999	0.5
s345	S345	281	323	0.999	0.5
s346	S346	270	312	0.999	0.5
s347	S347	263	313	0.999	0.5
s348	S348	262	300	0.999	0.5
s349	S349	264	313	0.999	0.5
s350	S350	275	318	0.999	0.5
s351	S351	272	310	0.999	0.5
s352	S352	238	283	0.999	0.5
s353	S353	275	324	0.999	0.5
s354	S354	265	301	0.999	0.5
s355	S355	288	315	0.999	0.5
s356	S356	241	284	0.999	0.5
s357	S357	260	294	0.999	0.5
s358	S358	230	267	0.999	0.5
s359	S359	225	272	0.999	0.5
s360	S360	257	292	0.999	0.5
s361	S361	287	323	0.999	0.5
s362	S362	254	295	0.999	0.5
s363	S363	226	267	0.999	0.5
s364	S364	268	312	0.999	0.5
s365	S365	301	330	0.999	0.5
s366	S366	257	301	0.999	0.5
s367	S367	260	298	0.999	0.5
s368	S368	240	289	0.999	0.5
s369	S369	242	284	0.999	0.5
s370	S370	282	308	0.999	0.5
s371	S371	252	289	0.999	0.5
s372	S372	268	322	0.999	0.5
s373	S373	267	311	0.999	0.5
s374	S374	286	320	0.999	0.5
s375	S375	252	298	0.999	0.5
s376	S376	283	316	0.999	0.5
s377	S377	256	296	0.999	0.5
s378	S378	276	327	0.999	0.5
s379	S379	251	304	0.999	0.5
s380	S380	276	312	0.999	0.5
s381	S381	293	322	0.999	0.5
s382	S382	282	328	0.999	0.5
s383	S383	229	258	0.999	0.5
s384	S384	245	304	0.999	0.5
s385	S385	270	304	0.999	0.5
s386	S386	260	297	0.999	0.5
s387	S387	262	305	0.999	0.5
s388	S388	277	303	0.999	0.5
s389	S389	283	334	0.999	0.5
s390	S390	227	271	0.999	0.5
s391	S391	283	320	0.999	0.5
s392	S392	238	262	0.999	0.5
s393	S393	263	301	0.999	0.5
s394	S394	248	292	0.999	0.5
s395	S395	263	302	0.999	0.5
s396	S396	240	279	0.999	0.5
s397	S397	261	301	0.999	0.5
s398	S398	245	282	0.999	0.5
s399	S399	264	305	0.999	0.5
s400	S400	277	295	0.999	0.5
s401	S401	255	267	0.999	0.5
s402	S402	285	299	0.999	0.5
s403	S403	302	313	0.999	0.5
s404	S404	291	303	0.999	0.5
s405	S405	291	301	0.999	0.5
s406	S406	284	297	0.999	0.5
s407	S407	288	300	0.999	0.5
s408	S408	299	313	0.999	0.5
s409	S409	285	296	0.999	0.5
s410	S410	280	291	0.999	0.5
s411	S411	268	280	0.999	0.5
s412	S412	294	306	0.999	0.5
s413	S413	298	310	0.999	0.5
s414	S414	263	273	0.999	0.5
s415	S415	296	315	0.999	0.5
s416	S416	276	286	0.999	0.5
s417	S417	287	297	0.999	0.5
s418	S418	313	325	0.999	0.5
s419	S419	294	305	0.999	0.5
s420	S420	293	304	0.999	0.5
s421	S421	297	313	0.999	0.5
s422	S422	282	293	0.999	0.5
s423	S423	310	326	0.999	0.5
s424	S424	266	280	0.999	0.5
s425	S425	250	265	0.999	0.5
s426	S426	257	263	0.999	0.5
s427	S427	275	285	0.999	0.5
s428	S428	281	290	0.999	0.5
s429	S429	302	314	0.999	0.5
s430	S430	279	294	0.999	0.5
s431	S431	305	314	0.999	0.5
s432	S432	284	294	0.999	0.5
s433	S433	280	294	0.999	0.5
s434	S434	283	300	0.999	0.5
s435	S435	280	291	0.999	0.5
s436	S436	285	297	0.999	0.5
s437	S437	294	310	0.999	0.5
s438	S438	303	313	0.999	0.5
s439	S439	289	302	0.999	0.5
s440	S440	288	297	0.999	0.5
s441	S441	292	301	0.999	0.5
s442	S442	282	297	0.999	0.5
s443	S443	292	307	0.999	0.5
s444	S444	295	307	0.999	0.5
s445	S445	291	304	0.999	0.5
s446	S446	269	289	0.999	0.5
s447	S447	280	288	0.999	0.5
s448	S448	277	283	0.999	0.5
s449	S449	272	294	0.999	0.5
s450	S450	274	289	0.999	0.5
s451	S451	313	326	0.999	0.5
s452	S452	293	303	0.999	0.5
s453	S453	306	317	0.999	0.5
s454	S454	280	294	0.999	0.5
s455	S455	293	300	0.999	0.5
s456	S456	293	304	0.999	0.5
s457	S457	267	280	0.999	0.5
s458	S458	306	318	0.999	0.5
s459	S459	273	280	0.999	0.5
s460	S460	308	323	0.999	0.5
s461	S461	271	287	0.999	0.5
s462	S462	283	296	0.999	0.5
s463	S463	294	305	0.999	0.5
s464	S464	281	296	0.999	0.5
s465	S465	291	304	0.999	0.5
s466	S466	275	287	0.999	0.5
s467	S467	263	276	0.999	0.5
s468	S468	265	275	0.999	0.5
s469	S469	254	264	0.999	0.5
s470	S470	261	269	0.999	0.5
s471	S471	280	292	0.999	0.5
s472	S472	291	298	0.999	0.5
s473	S473	290	301	0.999	0.5
s474	S474	292	304	0.999	0.5
s475	S475	294	303	0.999	0.5
s476	S476	302	313	0.999	0.5
s477	S477	282	291	0.999	0.5
s478	S478	257	267	0.999	0.5
s479	S479	288	296	0.999	0.5
s480	S480	254	267	0.999	0.5
s481	S481	296	305	0.999	0.5
s482	S482	292	307	0.999	0.5
s483	S483	281	293	0.999	0.5
s484	S484	290	304	0.999	0.5
s485	S485	295	308	0.999	0.5
s486	S486	286	302	0.999	0.5
s487	S487	308	322	0.999	0.5
s488	S488	284	297	0.999	0.5
s489	S489	305	312	0.999	0.5
s490	S490	305	316	0.999	0.5
s491	S491	246	258	0.999	0.5
s492	S492	311	316	0.999	0.5
s493	S493	295	312	0.999	0.5
s494	S494	273	291	0.999	0.5
s495	S495	312	327	0.999	0.5
s496	S496	295	302	0.999	0.5
s497	S497	272	286	0.999	0.5
s498	S498	309	320	0.999	0.5
s499	S499	291	307	0.999	0.5
s500	S500	319	336	0.999	0.5
s501	S501	317	325	0.999	0.5
s502	S502	306	319	0.999	0.5
s503	S503	271	283	0.999	0.5
s504	S504	281	294	0.999	0.5
s505	S505	283	294	0.999	0.5
s506	S506	280	286	0.999	0.5
s507	S507	313	329	0.999	0.5
s508	S508	271	280	0.999	0.5
s509	S509	276	286	0.999	0.5
s510	S510	332	343	0.999	0.5
s511	S511	287	305	0.999	0.5
s512	S512	269	278	0.999	0.5
s513	S513	294	308	0.999	0.5
s514	S514	280	291	0.999	0.5
s515	S515	298	313	0.999	0.5
s516	S516	269	279	0.999	0.5
s517	S517	282	293	0.999	0.5
s518	S518	309	323	0.999	0.5
s519	S519	316	324	0.999	0.5
s520	S520	287	301	0.999	0.5
s521	S521	284	294	0.999	0.5
s522	S522	296	310	0.999	0.5
s523	S523	292	296	0.999	0.5
s524	S524	272	286	0.999	0.5
s525	S525	283	299	0.999	0.5
s526	S526	306	316	0.999	0.5
s527	S527	285	298	0.999	0.5
s528	S528	311	327	0.999	0.5
s529	S529	275	282	0.999	0.5
s530	S530	241	257	0.999	0.5
s531	S531	293	304	0.999	0.5
s532	S532	289	304	0.999	0.5
s533	S533	287	300	0.999	0.5
s534	S534	277	287	0.999	0.5
s535	S535	269	277	0.999	0.5
s536	S536	282	300	0.999	0.5
s537	S537	306	319	0.999	0.5
s538	S538	275	284	0.999	0.5
s539	S539	303	315	0.999	0.5
s540	S540	310	323	0.999	0.5
s541	S541	296	309	0.999	0.5
s542	S542	285	302	0.999	0.5
s543	S543	292	306	0.999	0.5
s544	S544	287	294	0.999	0.5
s545	S545	286	303	0.999	0.5
s546	S546	288	308	0.999	0.5
s547	S547	326	339	0.999	0.5
s548	S548	261	269	0.999	0.5
s549	S549	272	278	0.999	0.5
s550	S550	279	288	0.999	0.5
s551	S551	290	301	0.999	0.5
s552	S552	308	324	0.999	0.5
s553	S553	300	310	0.999	0.5
s554	S554	280	296	0.999	0.5
s555	S555	296	310	0.999	0.5
s556	S556	298	309	0.999	0.5
s557	S557	312	322	0.999	0.5
s558	S558	289	307	0.999	0.5
s559	S559	320	331	0.999	0.5
s560	S560	284	296	0.999	0.5
s561	S561	266	280	0.999	0.5
s562	S562	272	282	0.999	0.5
s563	S563	287	299	0.999	0.5
s564	S564	281	296	0.999	0.5
s565	S565	292	306	0.999	0.5
s566	S566	292	302	0.999	0.5
s567	S567	290	303	0.999	0.5
s568	S568	286	299	0.999	0.5
s569	S569	298	308	0.999	0.5
s570	S570	296	306	0.999	0.5
s571	S571	303	315	0.999	0.5
s572	S572	274	285	0.999	0.5
s573	S573	319	328	0.999	0.5
s574	S574	310	318	0.999	0.5
s575	S575	293	310	0.999	0.5
s576	S576	293	308	0.999	0.5
s577	S577	311	325	0.999	0.5
s578	S578	291	303	0.999	0.5
s579	S579	321	335	0.999	0.5
s580	S580	311	330	0.999	0.5
s581	S581	290	299	0.999	0.5
s582	S582	329	338	0.999	0.5
s583	S583	296	310	0.999	0.5
s584	S584	314	332	0.999	0.5
s585	S585	324	337	0.999	0.5
s586	S586	269	275	0.999	0.5
s587	S587	305	317	0.999	0.5
s588	S588	269	283	0.999	0.5
s589	S589	293	311	0.999	0.5
s590	S590	283	294	0.999	0.5
s591	S591	286	301	0.999	0.5
s592	S592	306	317	0.999	0.5
s593	S593	306	319	0.999	0.5
s594	S594	292	305	0.999	0.5
s595	S595	296	313	0.999	0.5
s596	S596	277	286	0.999	0.5
s597	S597	323	330	0.999	0.5
s598	S598	290	300	0.999	0.5
s599	S599	262	273	0.999	0.5
